"ID","cntry","cntry_code","year","gdppc","gdppc_lag2","gdppc_lag1","pop","unemp","lifeexp","popden","rural","tourarriv","export","import","grossexp","inflation","fertility","industry","biz","evecount","gdppcgr","gdppcgr_lag2","gdppcgr_lag1","TreatBRA","TreatGBR","TreatCAN","TreatZAF","expimp"
1,"Australia","AUS",1993,31465.52407,NA,NA,17667000,10.8739996,77.87804878,2.299702,14.843,3726000,17.57279145,17.89372787,100.8119263,0.893858286,1.859,26.90340332,1.705193553,0,3.016613158,NA,NA,0,0,0,0,0.982064306424484
2,"Austria","AUT",1993,38871.37224,NA,NA,7905633,4.25,76.06829268,95.73302,37.856,17173000,31.46389801,31.80115248,100.5702818,2.757084633,1.5,28.30376845,0.590980049,0,-0.298754101,NA,NA,0,0,0,0,0.989394897866922
3,"Belgium","BEL",1993,35964.60572,NA,NA,10084475,8.076999664,76.34536585,338.5485,3.378,5560000,56.10774129,52.90499597,96.88741534,3.993231805,1.61,26.04581,4.783692642,0,-1.347999491,NA,NA,0,0,0,0,1.0605376725067
4,"Canada","CAN",1993,31330.78312,NA,NA,28684764,11.37699986,77.82439024,3.154422,22.848,16932000,29.23766599,29.20315119,100.337493,1.297392803,1.7,28.01151,0.723955646,0,1.538860993,NA,NA,0,0,0,0,1.00118188615247
5,"Chile","CHL",1993,11605.23752,NA,NA,13944937,4.489999771,74.386,18.75499,16.104,1540000,25.88068051,27.72838389,104.0869427,12.16441967,2.484,34.99573878,2.098066372,0,4.868083773,NA,NA,0,0,0,0,0.933364187854224
6,"Colombia","COL",1993,8850.754529,NA,NA,35091275,7.800000191,70.433,31.62801,29.126,1399000,15.18449529,20.99297616,105.8084809,24.84157828,2.968,30.16888033,1.443410263,0,3.377165555,NA,NA,0,0,0,0,0.723313129794932
7,"Czech Republic","CZE",1993,20827.41694,NA,NA,10329855,4.320000172,72.76780488,133.6852,25.099,3381000,40.12560939,39.00896357,97.68023875,21.00880292,1.67,34.83701926,1.610953817,0,-0.042053102,NA,NA,0,0,0,0,1.02862536498813
8,"Denmark","DNK",1993,40075.21332,NA,NA,5188628,10.71899986,75.11682927,122.2868,15.075,2125000,36.56621297,29.03871562,92.47250255,0.579917782,1.75,21.62767476,1.196102293,0,-0.321959909,NA,NA,0,0,0,0,1.25922280614972
9,"Estonia","EST",1993,11933.39568,NA,NA,1494128,6.544000149,67.9097561,35.24718,29.326,530000,64.22457701,68.10327196,104.4833618,39.66902,1.49,27.41277,4.201953542,0,0.483692794,NA,NA,0,0,0,0,0.943046863412405
10,"Finland","FIN",1993,29344.4729,NA,NA,5066447,16.20100021,75.70512195,16.63366,19.591,1779000,31.38096794,26.78396416,95.75652214,1.793543841,1.81,26.95897699,0.967925394,0,-1.14085831,NA,NA,0,0,0,0,1.17163268859452
